127.0.0.1 - - [05/Aug/2023:13:49:19 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:28 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:41 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:41 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:43 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:55:45 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:55:45 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:55:48 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:55:48 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:55:53 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:04 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:04 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:07 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:07 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:26 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:26 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:32 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:32 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:37 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:37 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:58:41 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:59:32 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:59:32 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:59:46 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:59:47 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:59:55 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:59:55 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:14:01:22 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:14:01:22 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:14:01:37 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:14:01:37 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
